Handle,Title,Body (HTML),Vendor,Published,Option1 Name,Option1 Value,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Image Src
ee-3-carbine-rifle,EE-3 Carbine Rifle,The<strong> EE-3 Carbine Rifle</strong> was a blaster that was modeled after the E-11 blaster rifle later used by Imperial stormtroopers. The rifle consisted of a small handle attached to a long circular barrel. An alternate version of this model features a modified scope mounting and hand grips that run along the length of the barrel.,yard-truck-dev,true,Title,Default Title,499,deny,manual,21459,true,https://cdn.shopify.com/s/files/1/0017/3945/6623/products/ee-3-sm.png?v=1532625117
dl-44-heavy-blaster-pistol,DL-44 Heavy Blaster Pistol,"The <strong>DL-44 Heavy Blaster Pistol</strong> was a type of heavy blaster pistol produced by BlasTech Industries that was used during the years of the Galactic Republic and the Age of the Empire. It was considered one of the most powerful blaster pistols in the galaxy, delivering massive damage at close range; however, it overheated quickly. There existed a carbine variation of this blaster including an extended barrel with the existing flash-suppressor and an attachable stock. This was used by Tobias Beckett in the trenches of Mimban before he deconstructed his DL-44 and gave it to a young Han Solo.",yard-truck-dev,true,Title,Default Title,500,deny,manual,6238,true,https://cdn.shopify.com/s/files/1/0017/3945/6623/products/dl-44.png?v=1532625095
t-47-irspeeder,T-47 irspeeder,"The <strong>T-47 Airspeeder</strong>, also known as the T-47 light airspeeder, was a craft manufactured by Incom Corporation. They were modified by the Rebel Alliance into snowspeeders.",yard-truck-dev,true,Title,Default Title,56,deny,manual,72166271,true,https://cdn.shopify.com/s/files/1/0017/3945/6623/products/speeder.png?v=1532625238
rz-1-a-wing-interceptor,RZ-1 A-Wing Interceptor,"The<strong> RZ-1 A-Wing Interceptor</strong>, also known as the RZ-1 A-wing starfighter, was a wedge-shaped starfighter manufactured by Kuat Systems Engineering, which took design inspiration from the Republic starfighters of the Clone Wars. Based on the original R-22 prototype, the early rebel movement adopted the fighter against the Galactic Empire, letting these so-called RZ-1s see action during the Age of the Empire and the Galactic Civil War. The updated RZ-2 variant would replace the RZ-1 after the Battle of Endor, and would see use thirty years later during the conflict between the Resistance and the First Order.",yard-truck-dev,true,Title,Default Title,140,deny,manual,82296748,true,https://cdn.shopify.com/s/files/1/0017/3945/6623/products/awing.png?v=1532625158
x-wing-starfighter,X-Wing Starfighter,"<strong>X-Wing Starfighters</strong> were a type of starfighter marked by their distinctive S-foils that resembled the High Galactic script's character ""X"" in attack formation.They were heavily armed with four laser cannons on the S-foils and proton torpedo launchers in the fuselage. X-wings were designed for dogfighting and long missions. During the Galactic Civil War, the Rebel Alliance used T-65B X-wing starfighters and T-65C-A2 X-wings in many battles, including the Battle of Yavin and the Battle of Endor.<br><br>Approximately thirty years later, a different and upgraded variation of X-wing, the T-70, was used by the Resistance, whereas a more advanced model, the T-85, was used by the New Republic Defense Fleet.",yard-truck-dev,true,Title,Default Title,99,deny,manual,92896238,true,https://cdn.shopify.com/s/files/1/0017/3945/6623/products/xwing.png?v=1532625271
star-destroyer,Star Destroyer,"A <strong>Star Destroyer</strong> was a dagger-shaped type of capital ship that were used by both the Galactic Republic, the Galactic Empire, and the First Order.<br><br>Notable examples of Star Destroyers include the Imperial-class Star Destroyer and its predecessor the Venator-class Star Destroyer.<br><br>According to Everi Chalis, Star Destroyers were the most resource-intensive ships the galaxy had ever seen, and only Kuat possessed shipyards capable of supporting and maintaining more than a handful at a time.",yard-truck-dev,true,Title,Default Title,300,deny,manual,636000000000,true,https://cdn.shopify.com/s/files/1/0017/3945/6623/products/stardestroyer.png?v=1532625219
tie-ln-starfighter,TIE/LN Starfighter,"The <strong>TIE/LN Starfighter,</strong> or TIE/line starfighter, simply known as the TIE Fighter or T/F,was the standard Imperial starfighter seen in massive numbers throughout most of the Galactic Civil War and onward. Colloquially, Rebel and New Republic pilots referred to the craft as ""eyeballs.""",yard-truck-dev,true,Title,Default Title,9000,deny,manual,62126238,true,https://cdn.shopify.com/s/files/1/0017/3945/6623/products/tie.png?v=1532625254
millennium-falcon,Millennium Falcon,"The Millennium Falcon, original designation YT-1300 492727ZED, was a Corellian YT-1300f light freighter most famously used by the smugglers Han Solo and Chewbacca during the Galactic Civil War. In the time following the Battle of Endor, Imperial turncoat Ralsius Paldora noted that every 2.2 out of 300 stormtroopers were aware of the Falcon's existence.[32]<br><br>Its aged appearance belied numerous advanced modifications to boost the ship's speed, weapons, and shield, including a hyperdrive engine among the fastest in the entire galaxy, enabling it to outrun Imperial Star Destroyers. It included sensor-proof smuggling compartments, which were used during the rescue of Princess Leia Organa in 0 BBY to evade Imperial stormtroopers.[1] Afterwards, the Millennium Falcon saw further action when Solo chose to join the Rebels during the Battle of Yavin, where it was able to sneak up and fire on Darth Vader's TIE Advanced, allowing Luke Skywalker to fire the proton torpedo that destroyed the Death Star.<br><br>After Han was captured on Bespin, Lando took command of the Falcon once more to search for him. In 4 ABY, Lando flew the ship at the Battle of Endor, where it entered the Death Star II and destroyed it from within. Over the next decades, the ship would fall out of Solo's hands and be stolen by a succession of criminals and thieves. It ended up back in Solo's hands in 34 ABY, after it was found on Jakku, a remote world in the Western Reaches.",yard-truck-dev,true,Title,Default Title,1,continue,manual,2662896238,true,https://cdn.shopify.com/s/files/1/0017/3945/6623/products/MillenniumFalcon.png?v=1532625132
at-st,AT-ST,"The <strong>All Terrain Scout Transport (AT-ST)</strong>, also known as a Scout Transport, Scout Walker, or derisively as a chicken walker, was a lightweight, bipedal walker used by the ground forces of the Galactic Empire. Later on, the First Order would use an upgraded variant of the AT-ST within their military.",yard-truck-dev,true,Title,Default Title,4000,deny,manual,74000000,true,https://cdn.shopify.com/s/files/1/0017/3945/6623/products/at-st.png?v=1532625049
at-t,AT-T,"The All <strong>Terrain Armored Transport (AT-AT)</strong> was a four-legged combat walkerused by the ground forces of the Galactic Empire. With the Imperial-class Star Destroyer and the TIE fighter, it was one of the most famous symbols of the Empire's military might.",Kuat Drive Yards,true,Title,Default Title,999,deny,manual,196000000,true,https://cdn.shopify.com/s/files/1/0017/3945/6623/products/at-at.png?v=1532625072
